artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,k_cluster
Polo G,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,81,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4,1
King Von,Took Her To The O,7fEoXCZTZFosUFvFQg1BmW,79,0.82,0.592,1,-7.002,1,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180,4,0
Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,81,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,4,1
Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew,79,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4,0
Eslabon Armado,Jugaste y Sufrí,3NqBxTOMCJ3zW9CIP51td4,81,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,275194,1,2
Diplo,Heartless (feat. Morgan Wallen),3FU6urUVsgXa6RBuV2PdRk,77,0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,169227,4,2
Kali Uchis,telepatía,6tDDoYIxWvMLTdKpjFkc1B,83,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4,1
Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,84,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4,1
21 Savage,Runnin,5SWnsxjhdcEDc7LJjq9UHk,79,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4,1
Steve Lacy,Infrunami,0f8eRy9A0n6zXpKSHSCAEp,78,0.826,0.299,9,-7.721,1,0.0446,0.31,0.0952,0.0758,0.215,97.012,178328,4,2
Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,83,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,4,2
Lee Brice,Soul,3vCUelLOtiuNF78p9LNWZF,77,0.789,0.642,11,-8.304,1,0.0352,0.357,0.0,0.0985,0.755,121.003,167680,4,2
"Tyler, The Creator",BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,79,0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,127921,3,1
Giveon,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,84,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,3,0
Chris Stapleton,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,77,0.602,0.477,9,-8.425,1,0.032,0.268,3.1e-05,0.173,0.552,183.89,213493,4,2
THE ANXIETY,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,81,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4,0
Juice WRLD,Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,81,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,205485,4,0
Coyote Theory,This Side of Paradise,79EkGysjP2dL5GdpeQjRxT,83,0.306,0.664,9,-6.07,1,0.0276,0.432,7.5e-06,0.135,0.321,158.283,242010,4,2
Lil Baby,On Me,4Iedi94TIaB2GGb1nMB68v,78,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4,1
Dua Lipa,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,85,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4,1
Machine Gun Kelly,my ex's best friend (with blackbear),7kDUspsoYfLkWnZR7qwHZl,79,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461,4,1
Brent Faiyaz,Clouded,2J6OF7CkpdQGSfm1wdclqn,77,0.583,0.344,2,-8.765,1,0.0559,0.774,0.0,0.143,0.581,65.203,110129,3,0
21 Savage,Glock In My Lap,6pcywuOeGGWeOQzdUyti6k,77,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,193591,4,1
Jhay Cortez,CÓMO SE SIENTE - Remix,2tFwfmceQa1Y6nRPhYbEtC,83,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,92.988,227520,4,1
Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,81,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,4,1
Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,85,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4,0
Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,80,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,4,0
Tame Impala,One More Hour,0mO6oS60RST2sWmN2FKknP,80,0.647,0.398,4,-8.63,1,0.0283,0.108,0.107,0.148,0.32,102.029,432560,4,0
Bad Bunny,DÁKITI,47EiUVwUp4C9fGccaPuUCS,83,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,1
Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR,83,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4,0
Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,80,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4,2
Bad Bunny,La Santa,69vlMrzHwATKzupwNcUPyK,84,0.744,0.868,1,-4.524,1,0.047,0.0326,0.0,0.0822,0.586,93.037,206420,4,0
Playboi Carti,ILoveUIHateU,1BpKJw4RZxaFB88NE5uxXf,77,0.684,0.693,4,-6.651,0,0.0339,0.00534,0.0,0.506,0.108,134.988,135122,4,1
Fujii Kaze,死ぬのがいいわ,0HYAsQwJIO6FLqpyTeD3l6,87,0.6,0.76,6,-6.123,0,0.0451,0.167,4.07e-05,0.189,0.519,158.075,185573,4,1
Noah Cyrus,July,6J2LdBN97cDWn0MLxYh9HB,80,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,156106,4,1
Cardi B,WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,81,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,4,0
Pop Smoke,What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,81,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4,2
Riovaz,Prom Night,7KhJdiu4zbPlhlImRLIyDl,76,0.813,0.608,7,-9.918,1,0.169,0.355,8.56e-06,0.0963,0.0512,149.251,145899,4,2
